Wavelength,Work,label,0.727581795
709.96,38.51287,1,0.548526285
683.61,13.22397,-1,0.068796681
692.71,17.78206,-1,0.241127798
675.96,12.59991,-1,0.172987183
868.17,50.23183,-1,0.933814104
768.51,46.27618,1,0.233577157
750.73,46.28458,1,0.898982864
774.27,45.08367,1,0.471603223
905.82,51.1645,-1,0.900226378
981.23,37.58434,-1,0.744173793
927.56,46.64005,-1,0.673064581
540.11,11.66487,-1,0.895380541
835.87,45.6304,1,0.451831505
673.09,18.66328,1,0.365960271
935.77,45.18298,-1,0.461049343
1011.72,41.52312,-1,0.663379531
748.81,47.68403,-1,0.482575301
940.12,45.19335,1,0.89070541
563.86,19.38177,1,0.482706878
993.81,36.91354,-1,0.954066866
746.89,47.58239,-1,0.018051686
728.66,45.04993,1,0.489917223
965.75,38.29808,1,0.231538308
688.4,14.82347,-1,0.868241163
666.87,18.13715,1,0.351579845
864.8,50.60537,-1,0.355267859
1022.86,42.41847,-1,0.567404445
592.89,19.85567,1,0.178324934
605.28,20.2358,1,0.154189659
547.71,12.01692,-1,0.642479053
823.35,49.40465,-1,0.46514272
986.55,39.24493,1,0.172856056
736.33,47.34257,-1,0.827866876
517.81,12.32634,1,0.07703883
894.71,49.88175,-1,0.420284224
861.9,49.72382,-1,0.158432709
900.02,49.48566,-1,0.697391639
622.44,13.93504,-1,0.299560776
524.45,9.43144,-1,0.780269231
880.72,46.38588,1,0.616243923
959.94,39.68101,1,0.140111025
719.07,41.16726,1,0.439964094
750.73,47.55265,-1,0.067882815
989.94,36.82417,-1,0.517000295
589.56,18.9372,1,0.269269229
674.52,17.8789,1,0.268791214
625.78,14.06031,-1,0.034878982
853.22,46.37004,1,0.485579803
724.82,44.90559,1,0.455453157
617.67,14.4822,-1,0.720641949
653,18.96449,1,0.64192557
881.2,48.82572,-1,0.597337536
857.56,46.82682,1,0.932476725
896.16,47.2442,1,0.419174844
780.04,50.51946,-1,0.272744946
873,50.65505,-1,0.485489039
590.51,20.41038,1,0.676039507
658.26,13.03213,-1,0.505113727
809.87,45.97184,1,0.512935244
905.33,50.29432,-1,0.359611203
527.3,14.43986,1,0.112461164
668.78,12.1734,-1,0.694700518
589.56,14.03947,-1,0.621102785
989.45,42.21335,1,0.892490177
957.53,39.94701,1,0.628960733
541.06,16.36995,1,0.117373011
528.72,14.37267,1,0.536501311
506.44,13.11848,1,0.748295728
828.65,52.35884,-1,0.000801673
1025.76,48.68866,1,0.529860975
860.94,50.56515,-1,0.744990398
920.79,45.01689,-1,0.209803856
999.62,37.81921,-1,0.186892119
578.13,20.08268,1,0.005273033
640.11,13.70021,-1,0.654465065
712.83,36.51284,-1,0.795000186
522.08,8.90397,-1,0.70680237
995.26,36.56797,-1,0.861805962
934.8,44.19738,-1,0.163044157
539.16,15.97296,1,0.981916019
829.13,47.05852,1,0.934972902
841.66,51.12097,-1,0.995251446
852.74,51.8703,-1,0.784238222
616.72,21.38479,1,0.791530416
647.75,18.86483,1,0.659158116
661.13,18.19385,1,0.11749629
545.33,18.10121,1,0.04793296
753.14,46.27967,1,0.984320499
538.68,16.31936,1,0.401340443
575.28,14.17416,-1,0.100491036
779.56,45.19943,1,0.254253775
898.09,49.52431,1,0.24874827
626.74,21.01603,1,0.514013671
669.74,12.20278,-1,0.706217232
554.36,12.97833,-1,0.608213786
988,34.68695,-1,0.319800351
967.68,35.8442,-1,0.578714208
825.28,53.04101,-1,0.439901436
959.94,34.60961,-1,0.924573389
850.81,45.71674,1,0.036201993
624.35,20.83371,1,0.44407345
518.29,13.18936,1,0.561247259
899.06,48.93601,1,0.997556262
705.64,35.51653,1,0.170434193
766.59,48.63429,-1,0.696175145
977.84,35.62448,-1,0.36377176
725.78,43.47149,-1,0.909257262
719.54,39.69764,-1,0.602498235
766.1,49.17817,-1,0.863099837
513.55,11.47492,1,0.100520209
667.35,18.38453,1,0.465932231
885.54,49.53087,-1,0.577436055
565.29,19.83583,1,0.196119152
769.47,46.51559,1,0.416545262
810.83,50.98596,-1,0.245193546
751.69,46.489,1,0.081873757
785.33,49.76067,-1,0.454550068
866.24,46.34564,1,0.6389633
621.01,21.19465,1,0.506081521
1029.64,47.3104,1,0.9465586
875.89,51.39807,-1,0.12977461
539.16,11.33325,-1,0.375284334
781.97,45.76378,1,0.485612064
808.42,50.40498,-1,0.666737254
1048.53,48.51485,-1,0.364916118
568.62,19.71393,1,0.212486418
817.09,46.43994,1,0.278647144
890.85,51.16467,-1,0.337283054
1034.97,44.105,-1,0.449987947
555.78,13.13366,-1,0.652689024
511.65,11.72371,1,0.83259333
613.38,14.68687,-1,0.932103095
502.65,10.56385,1,0.291545679
554.36,18.57143,1,0.487128336
624.83,20.71017,1,0.335434119
944.95,43.50271,1,0.584186193
948.82,41.38029,1,0.225549659
690.8,22.34169,1,0.981220271
533.94,15.79929,1,0.729773104
900.51,47.97342,1,0.388568935
622.92,21.31019,1,0.673059029
877.34,49.58875,-1,0.784959311
722.42,43.68148,1,0.686686244
874.93,47.06362,1,0.407277293
710.44,35.02151,-1,0.326256474
531.09,15.63202,1,0.556827909
584.8,13.92282,-1,0.792404532
998.17,45.68339,1,0.044015051
598.61,14.19738,-1,0.779191255
999.13,37.94631,-1,0.643940445
627.69,20.54901,1,0.280388577
963.33,40.25062,1,0.667340588
766.1,45.41765,1,0.438283494
622.44,21.02598,1,0.764488103
642.49,19.51741,1,0.828157624
747.85,45.88872,1,0.035389076
503.13,11.57147,1,0.277794454
1008.82,40.1733,-1,0.890769603
882.16,46.61116,1,0.951355338
842.14,46.74106,1,0.577358967
925.14,44.92459,1,0.336894449
595.75,20.40293,1,0.857364721
761.78,45.43847,1,0.39051096
1004.94,39.50185,-1,0.157049185
586.7,13.68252,-1,0.544144184
834.43,46.5164,1,0.80573425
691.75,23.6239,1,0.874300864
661.61,12.71739,-1,0.974379334
960.43,37.46971,-1,0.195585712
